"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"FGR",3.97789856653494,4.53884525566761,-0.265262081018543,3.18469140140497,3.25013193322705,0.00693120441750735,5.26645445004984,3.89846844035102,1.27649690536968,-1.08079385092286,0.593121560082186,1.37395689371729,2.29685156025036,3.49577492815938,3.92776699304847,-1.02441306469085,0.111255139024266,2.10166524829375,4.87320455982777,5.92110808404218,0.590018398470402,2.12450504543258,5.28408283824956
"CFH",5.09259454668503,6.05863063069018,2.58332333644731,6.10079214570361,6.3437451400225,3.52441949484506,5.74006652497743,6.02063040364165,9.25376128302148,3.49398965296451,1.74465022218492,2.67774389462239,5.30404420938034,3.59941481379361,5.34909849907498,2.80975161810525,1.21810545081903,10.0666859669865,7.35820872234978,6.09609004829377,3.53041014922083,6.40893702028611,5.14982582483481
"CD99",7.39167359808677,6.3867542674018,5.60151183980621,5.72971631547184,7.12587296251084,7.45054911347315,6.41007187269584,7.59672865558736,6.19845990793964,5.08119654030458,5.81009679470945,5.93541999652226,6.47840019837074,6.93618192320238,7.76821278621224,5.40923831373499,7.74416679595783,6.14214644517596,8.6612718941792,7.85956384703465,6.56526732956719,7.65025695785136,7.42719973363904
"HS3ST1",1.01699777490275,0.869550515137064,-4.12476390800051,-1.62465323067899,-0.469225754617937,-0.0753211234053612,1.60376451112399,0.63649541719232,2.10799989056083,0.2061439300461,0.929862928631374,-0.84241063803911,-0.966535164958675,0.885738079410483,-0.437396596616753,-4.24007194096391,-1.94063803138409,-2.2672307499198,1.21274155639655,-0.293277057814467,-2.23475875159583,-1.87302530190046,-1.01013703006206
"CFLAR",5.73909838939321,5.66893524667042,3.63157507413483,4.77322930286729,5.63537861936236,4.73107034390896,6.15054977288079,5.76641484657316,5.34469861492588,3.69068355066987,5.40611432144648,4.46683463186748,5.3042758103377,5.17552696522054,4.62984185029456,5.78839056751091,2.3374678670276,5.18649827928977,6.05166717025871,5.41270530973182,5.15828211523642,5.31567684295896,5.09573704770953
"TFPI",3.98109646563557,3.33548832410606,3.63624866070549,3.75824066879258,4.71410749840836,2.49345573613049,4.13199587036462,3.69427649044153,6.35836671738306,2.29158666063767,3.23496359483296,2.28213098992534,3.74154301441184,2.96083664216577,3.00222769934308,2.14117175372441,1.71351817870556,7.31063787509793,5.5560430931684,4.90793607753427,1.7216619872267,4.66451038098709,3.90731769891134
"CD38",3.61228581759463,3.59593331780305,-1.66114315485717,2.32787990657566,4.08571797813565,-2.48340854978975,5.23839435781625,2.84881282475659,1.96579548497922,0.86206034853981,1.17491591717924,0.910548782311066,3.32568386914176,2.76378722189632,2.25893387289312,-2.08685091645797,0.337853725130804,2.55990436081647,2.04770044632377,1.38346624144922,1.38457472160676,2.10678688108168,3.72506242740051
"COPZ2",4.97737956386951,3.44311494524751,2.5118826967497,3.57578299056265,4.67146451979075,5.06822748611637,2.28554560096212,5.99149758478479,4.7445952508883,2.35426720323823,3.01926924110278,2.63813500351558,5.29431102591385,2.92306194207976,6.6093872722224,3.55437765185775,6.08155665323329,3.95726023315549,6.40878883505334,5.64613030551042,1.6493132153621,4.07680941421175,4.15177906864164
"PON1",-9.96578428466209,-6.26474549689348,-9.96578428466209,4.87020157688889,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.15335690082667,8.52338043181455,-9.96578428466209,-9.96578428466209,-0.785081438644021,-1.21405383766881,-9.96578428466209,-9.96578428466209,-2.9159198077596,-9.96578428466209,8.93143953620875,-9.96578428466209,-2.55631397722486,-4.25051281174398,-5.19725349644688,-3.53085442033986
"ITGAL",4.29414648816233,4.18223462599765,0.302874645810336,2.82082926549658,4.48374702096572,-0.0088981058409429,6.31316494706047,3.19954388525724,3.02013429082781,1.96759894967667,2.45926436863891,1.40888627141207,3.84258428446418,2.53191694909127,3.23194486261319,0.0684599994054197,1.55135360005537,3.15293458033239,2.13462205751546,4.28772019323646,2.66807445388383,3.6067933365456,4.68461793534739
