"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","PredictIO_Bareche","ICB_small_Liu",-1.923,0.593,69,0.0011781180978437,"Melanoma","PD-1/PD-L1",0.0270967162504052
"R vs NR","PassON_Du","ICB_small_Liu",-4.07,2.044,69,0.046429911787846,"Melanoma","PD-1/PD-L1",0.533943985560228
"R vs NR","COX-IS_Bonavita","ICB_small_Liu",-0.242,0.296,69,0.412541553761696,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","EMT_Thompson","ICB_small_Liu",1.08,0.806,69,0.180274103991822,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","EMTstroma_Wang","ICB_small_Liu",-0.533,0.64,69,0.404983344491321,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","IPRES_Hugo","ICB_small_Liu",2.053,2.246,69,0.360599818629436,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","IPS_Charoentong","ICB_small_Liu",0.204,0.255,69,0.425565705060433,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","IPSOV_Shen","ICB_small_Liu",-3.283,3.514,69,0.350148473531086,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","MHC-II_Liu","ICB_small_Liu",-1.138,0.892,69,0.201627773123583,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","TUMOR-VASCULATURE-UP_Lu","ICB_small_Liu",1.298,1.238,69,0.294453422671141,"Melanoma","PD-1/PD-L1",0.978801121638995
"R vs NR","CYT_Davoli","ICB_small_Liu",0.01,0.481,69,0.982705364617652,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","CYT_Rooney","ICB_small_Liu",-0.054,0.453,69,0.90482663757488,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","IFN_Ayers","ICB_small_Liu",0.07,0.291,69,0.811315744142076,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","IMS_Cui","ICB_small_Liu",-0.507,0.753,69,0.500624310557757,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","Inflammatory_Thompson","ICB_small_Liu",-0.167,0.504,69,0.740509829847185,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","IRG_Ayers","ICB_small_Liu",-0.005,0.306,69,0.98817510774563,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","M1_Hwang","ICB_small_Liu",-0.464,1.113,69,0.676824914068728,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","MHC-I_Liu","ICB_small_Liu",-0.205,0.801,69,0.798455456480363,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","PDL1_Nishino","ICB_small_Liu",-0.075,0.497,69,0.88049126395945,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","Teff_McDermott","ICB_small_Liu",0.068,0.486,69,0.888448994327229,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","Teff-IFNG_Fehrenbacher","ICB_small_Liu",-0.137,0.479,69,0.775075687300314,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","TIS_Damotte","ICB_small_Liu",-0.121,0.512,69,0.814071219135825,"Melanoma","PD-1/PD-L1",0.98817510774563
"R vs NR","VIGex_Hernando-Calvo","ICB_small_Liu",-0.257,0.517,69,0.619812192848682,"Melanoma","PD-1/PD-L1",0.98817510774563
