"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"FGR",1.1833277060448,-0.664288089679538,0.12565110166152,2.8116765280077,2.02183502726224,1.32250505751888,1.39011735366633,1.42814239097833,1.29337048420475,0.669933835668961,1.45995613965412,1.10500752476097,1.25156762060825,2.02538322147792,3.82283210158867,2.69398867721952,0.412510571249805,2.991136320059,2.44916515681218,3.60181534972849,3.7388758997972,4.54293898970575,4.35973199315247,-0.512513650651464,2.06384804338205,2.41980852893928,3.28702895733093,2.3164354110105,1.4494293141032,1.19597745864259,2.66698377006666,2.09794783553483,3.56936956603177
"CFH",6.27725949923125,6.5973970885286,3.33356685113426,6.44312589403587,7.67836069699077,7.00843982742544,6.68132275689072,5.43466158436187,5.29539243026555,6.63562381160172,5.03918227082614,7.72117439833657,5.91506670060443,5.44959438785201,4.36534259782577,6.55567813554138,2.50868217947054,4.0135515880033,3.71710060088314,6.53979469779574,5.64273044854666,2.70509321973489,4.81613887157268,8.87107664337402,6.05725530022051,6.81494769948146,4.99054649268915,4.99054649268915,4.77668305598518,3.12614690155444,6.25495300934363,5.92910451295803,7.84894211313425
"CD99",8.33400953073427,9.98766336300877,8.68569841792501,8.78211692966928,9.06299322801645,8.51076812321073,8.62227516358245,8.85910300033031,8.07981008688088,8.18547510172977,7.18587645389709,9.06210281873211,8.66178165997757,8.76927916625671,9.10604203677836,8.79594548167331,7.24936000565352,7.48091942201619,5.98187548056232,7.50764402131583,6.26248953529596,6.59918387395796,6.32374834858296,6.29371993195768,7.6895857139396,7.70176389272514,6.64083780182399,6.60734511054594,8.07836966438675,4.9122187163038,8.50870990627669,8.14211216417861,6.38717295405991
"HS3ST1",-2.38835545662634,-4.608232280044,-3.8160371651574,-1.99424073071132,-3.45798964446339,-2.93236128312464,-4.0350469470992,-2.82623293226329,-1.88363524330822,-3.62593428177746,-4.29335894269059,-3.17136841831198,-3.30757280191029,-2.72737954533701,-2.38835545662634,-2.38835545662634,-0.471928835421265,-0.150400988848548,2.33084518962342,-0.664288089679538,-0.886299500835272,-0.232768962976124,0.423309237242387,-2.38835545662634,1.02927618237063,0.60502015306241,-2.2446850959549,1.74889054264591,1.35670725293538,-0.808437349299244,-0.913216233857933,-0.0424567992428948,-1.2827897009804
"CFLAR",6.13772892724089,6.24661710326179,5.7112470942349,8.04412632156204,6.6589397884632,6.65979614826371,7.43263376227083,6.83707282239528,7.71294650748702,6.67540665798245,6.66421259417782,7.57766296372822,6.8627117373406,7.27324545228193,8.55712285215645,7.28882917022355,7.05355667808338,4.9579610166456,5.1047979129744,6.58557852019174,6.19753124989767,5.67697255849982,4.56504875003326,4.03834838108761,7.65571674995176,6.04463454849673,6.50049933572399,6.05182885383524,4.73665898889205,6.36494006258596,6.32896209153842,5.87211462110404,5.57503998419067
"TFPI",5.39406820399767,5.95607989151391,1.54646235816709,5.86940260214802,6.4708784642041,6.10477695012063,6.36581499592724,6.2340222331612,4.96859768040012,5.93619033968518,6.49411154990001,6.94405021655158,6.4804428625103,5.60232028185975,5.74633964201419,6.50670031363979,1.82415684372883,6.04965254737664,6.61546043910065,7.2319027591057,6.80478928214714,5.46535416814627,6.46108648959325,6.92292329589966,9.51363088675079,7.20134960656358,6.6737118784422,4.45884130445716,4.20719006927416,6.33254682966605,7.33002948221618,5.16755864494196,10.4167035963415
"CD38",1.96384399836247,1.89569039046369,2.09119205151613,3.52494126566186,1.45470232816369,1.75317662732212,2.74222184423398,0.112366523072563,2.67378253401974,1.83632813392398,5.95584748365193,3.4700161775327,1.68750866072073,1.44413695658759,5.79470177757515,2.87597660213846,-0.199255376063222,-0.997117491466879,0.651683180632109,-0.641603738043346,1.36793014143188,2.7614980445501,3.06539997747876,0.714575238851626,2.35360559133812,-0.134477040860036,3.87882341394817,4.32055688316978,-3.30757280191029,0.537047519404657,3.8319785504885,0.52707033551266,2.49082681491283
"COPZ2",3.02520601886874,4.76080642342386,0.856786546288081,2.81987251676511,4.09600878566277,3.8177255726805,3.25414048420073,4.7197858069459,3.5742226360892,3.5534833852434,-0.394031641158542,5.00589397680439,3.69276194306377,3.03755793542403,0.926758531986465,3.60062657655569,2.82802220679368,5.77507688702496,4.78925975143968,4.80946589463946,5.02418668126576,4.62649754422109,5.6738673161454,4.26010095123252,3.84106737753033,5.96926563210452,4.17640256551352,4.82736176006918,4.86497848053574,5.97546969449628,6.22363492249154,4.93220293865459,1.34539637539127
"PON1",-1.9378782880922,-9.96578428466209,-1.11716134423275,0.816394909169121,-1.9378782880922,-2.2446850959549,-1.55215635563791,-3.17136841831198,-2.17788172527066,-9.96578428466209,-0.492078535042672,-3.8160371651574,-4.608232280044,-2.63486740654747,1.72726701073491,-2.63486740654747,-3.8160371651574,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-0.394031641158542,0.24000896473507,8.6802223686541,1.29924465779607,-9.96578428466209,-9.96578428466209,0.956800118051576,-9.96578428466209,-9.96578428466209,3.20804897901997,-9.96578428466209,5.01707563496774
"ITGAL",3.95707881892,4.2743362172138,4.88220283795777,6.73945659976861,4.70769043069859,4.76187031863884,5.90955711566292,3.90602471879496,5.49892099053915,3.68043688716979,6.75770335103577,6.30981282975569,4.77720927974389,4.87926465757107,8.30323735246843,5.72222008958271,2.55606149049984,2.10467213128256,3.14420956118307,3.73563048366954,4.32632161803998,4.7724663417462,3.95428938448393,2.13126021466086,3.24807936808726,2.87204072453461,4.00728521845538,4.34063347630369,1.91876784932515,-2.2446850959549,4.24724396967738,3.97645529070188,1.53156860881496
