"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"PFS","CCL5-CXCL9_Dangaj","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","Chemokine_Messina","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","COX-IS_Bonavita","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","CYT_Davoli","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","CYT_Rooney","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","EMT_Thompson","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","EMTstroma_Wang","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IFN_Ayers","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IMS_Cui","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","Inflammatory_Thompson","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IPRES_Hugo","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IPS_Charoentong","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IPSOV_Shen","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","IRG_Ayers","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","M1_Hwang","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","MHC-I_Liu","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","MHC-II_Liu","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","PassON_Du","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","PDL1_Nishino","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","PredictIO_Bareche","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","Teff_McDermott","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","Teff-IFNG_Fehrenbacher","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","TIS_Damotte","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
"PFS","VIGex_Hernando-Calvo","ICB_small_Hugo",NA,NA,NA,NA,NA,NA,NA
